Employee_ID,Age,Education_Level,Years_Experience,Department,Performance_Score,Training_Hours,Salary
1,25,Bachelor,2,IT,78,20,45000
2,30,Master,5,Finance,85,35,62000
3,28,Bachelor,3,HR,80,,52000
4,35,PhD,10,IT,92,40,90000
5,40,Master,12,Finance,88,38,95000
6,29,NA,4,HR,76,22,50000
7,31,Bachelor,6,Marketing,82,,61000
8,26,Bachelor,2,IT,75,18,47000
9,38,Master,11,Finance,90,36,92000
10,27,Bachelor,3,Marketing,79,24,53000
11,45,PhD,15,IT,95,,110000
12,33,Master,7,Finance,86,30,68000
13,36,Bachelor,9,HR,83,28,72000
14,24,Bachelor,1,Marketing,70,15,42000
15,41,Master,13,Finance,89,40,98000
16,34,?,8,IT,87,33,75000
17,37,Bachelor,10,HR,84,?,73000
18,32,Master,6,Marketing,81,27,64000
19,29,Bachelor,4,IT,77,21,54000
20,43,PhD,14,Finance,93,42,105000
